idx name E N U flagged rotation
0 sb01-09 -13.503 8.975 -0.063 False 303.9
1 sb01-10 -16.348 6.541 -0.036 False 303.9
2 sb02-01 -18.601 1.056 -0.105 False 303.9
3 sb02-02 -19.227 -1.313 -0.135 False 303.9
4 sb02-03 -16.956 0.358 -0.109 False 303.9
5 sb02-04 -17.255 -2.764 -0.107 False 303.9
6 sb02-05 -15.741 -3.666 -0.099 False 303.9
7 sb02-06 -15.353 -1.198 -0.089 False 303.9
8 sb01-01 -18.786 5.169 -0.038 False 303.9
9 sb01-02 -14.705 6.036 -0.066 False 303.9
10 sb01-03 -15.017 4.304 -0.078 False 303.9
11 sb01-04 -12.369 2.151 -0.074 False 303.9
12 sb01-05 -11.47 3.846 -0.06 False 303.9
13 sb01-06 -13.002 5.065 -0.065 False 303.9
14 sb01-07 -10.907 7.093 -0.082 False 303.9
15 sb01-08 -13.122 7.016 -0.054 False 303.9
16 sb03-04 -13.829 -7.084 -0.074 False 303.9
17 sb03-05 -14.889 -8.467 -0.084 False 303.9
18 sb03-06 -10.959 -9.013 -0.065 False 303.9
19 sb03-07 -12.187 -6.354 -0.064 False 303.9
20 sb03-08 -8.992 -9.133 -0.047 False 303.9
21 sb03-09 -10.126 -6.863 -0.055 False 303.9
22 sb03-10 -11.533 -4.578 -0.065 False 303.9
23 sb03-11 -13.937 -3.735 -0.077 False 303.9
24 sb02-07 -13.445 -1.769 -0.083 False 303.9
25 sb02-08 -13.141 0.015 -0.078 False 303.9
26 sb02-09 -14.229 1.539 -0.078 False 303.9
27 sb02-10 -16.399 2.155 -0.083 False 303.9
28 sb02-11 -16.992 4.503 -0.062 False 303.9
29 sb03-01 -17.262 -5.183 -0.102 False 303.9
30 sb03-02 -15.513 -5.633 -0.083 False 303.9
31 sb03-03 -16.61 -9.06 -0.078 False 303.9
32 sb04-09 -8.798 0.285 -0.024 False 303.9
33 sb04-10 -9.18 2.053 -0.065 False 303.9
34 sb04-11 -11.058 0.606 -0.054 False 303.9
35 sb05-01 -9.808 4.777 -0.064 False 303.9
36 sb05-02 -7.62 2.929 -0.022 False 303.9
37 sb05-03 -6.839 1.143 -0.01 False 303.9
38 sb05-04 -5.698 2.554 -0.014 False 303.9
39 sb05-05 -3.008 2.95 -0.004 False 303.9
40 sb04-01 -10.526 -1.206 -0.057 False 303.9
41 sb04-02 -11.599 -2.716 -0.077 False 303.9
42 sb04-03 -9.643 -5.0 -0.049 False 303.9
43 sb04-04 -8.655 -3.443 -0.028 False 303.9
44 sb04-05 -6.789 -3.369 -0.016 False 303.9
45 sb04-06 -5.099 -2.647 0.003 False 303.9
46 sb04-07 -8.179 -1.397 -0.047 False 303.9
47 sb04-08 -5.405 -0.427 -0.017 False 303.9
48 sb06-04 -10.466 -15.884 -0.01 False 303.9
49 sb06-05 -8.88 -15.319 -0.036 False 303.9
50 sb06-06 -10.625 -12.442 -0.051 False 303.9
51 sb06-07 -8.851 -13.224 -0.044 False 303.9
52 sb06-08 -6.604 -11.496 -0.031 False 303.9
53 sb06-09 -7.125 -9.851 -0.048 False 303.9
54 sb06-10 -9.132 -11.398 -0.045 False 303.9
55 sb06-11 -11.677 -10.71 -0.058 False 303.9
56 sb05-06 -3.075 4.823 -0.016 False 303.9
57 sb05-07 -5.794 4.657 0.004 False 303.9
58 sb05-08 -7.602 4.922 -0.016 False 303.9
59 sb05-09 -6.843 7.915 -0.011 False 303.9
60 sb05-10 -8.088 6.693 -0.034 False 303.9
61 sb06-01 -13.331 -11.508 -0.08 False 303.9
62 sb06-02 -15.559 -10.981 -0.079 False 303.9
63 sb06-03 -12.051 -13.468 -0.038 False 303.9
64 sb07-09 -3.389 -5.121 -0.046 False 303.9
65 sb07-10 -3.414 -3.119 0.011 False 303.9
66 sb07-11 -5.781 -4.822 -0.009 False 303.9
67 sb08-01 -5.395 -13.36 -0.029 False 303.9
68 sb08-02 -6.966 -14.81 -0.05 False 303.9
69 sb08-03 -6.392 -16.449 -0.018 False 303.9
70 sb08-04 -4.668 -16.845 -0.011 False 303.9
71 sb08-05 -3.25 -18.153 0.033 False 303.9
72 sb07-01 -7.239 -6.263 -0.024 False 303.9
73 sb07-02 -7.547 -7.985 -0.029 False 303.9
74 sb07-03 -5.071 -6.523 -0.03 False 303.9
75 sb07-04 -4.969 -9.257 -0.032 False 303.9
76 sb07-05 -2.363 -9.5 -0.027 False 303.9
77 sb07-06 -2.871 -7.044 -0.021 False 303.9
78 sb07-07 -1.135 -6.525 -0.026 False 303.9
79 sb07-08 -0.997 -3.285 0.009 False 303.9
80 sb09-04 1.203 -11.725 0.002 False 303.9
81 sb09-05 2.42 -8.321 -0.025 False 303.9
82 sb09-06 4.066 -9.981 0.006 False 303.9
83 sb09-07 5.217 -8.569 0.031 False 303.9
84 sb09-08 3.886 -7.311 -0.011 False 303.9
85 sb09-09 1.856 -6.118 -0.028 False 303.9
86 sb09-10 1.474 -3.388 0.001 False 303.9
87 sb09-11 -0.145 -4.871 -0.006 False 303.9
88 sb08-06 -3.131 -14.858 -0.016 False 303.9
89 sb08-07 -2.102 -13.426 -0.012 False 303.9
90 sb08-08 -2.31 -11.409 -0.025 False 303.9
91 sb08-09 -3.727 -12.489 -0.013 False 303.9
92 sb08-10 -3.964 -10.722 -0.034 False 303.9
93 sb09-01 0.641 -7.477 -0.011 False 303.9
94 sb09-02 -0.971 -8.333 -0.007 False 303.9
95 sb09-03 -0.583 -10.093 -0.019 False 303.9
96 sb10-09 3.795 -11.732 0.024 False 303.9
97 sb10-10 0.595 -13.44 0.016 False 303.9
98 sb10-11 -0.56 -12.113 -0.044 False 303.9
99 sb11-01 6.001 -12.852 0.042 False 303.9
100 sb11-02 4.936 -14.319 0.054 False 303.9
101 sb11-03 7.745 -14.46 0.066 False 303.9
102 sb11-04 7.623 -16.967 0.096 False 303.9
103 sb11-05 9.219 -16.12 0.096 False 303.9
104 sb10-01 -0.862 -14.613 -0.022 False 303.9
105 sb10-02 -2.032 -16.249 0.014 False 303.9
106 sb10-03 -1.182 -19.376 0.028 False 303.9
107 sb10-04 0.27 -17.143 0.057 False 303.9
108 sb10-05 3.411 -18.838 0.052 False 303.9
109 sb10-06 1.223 -15.552 0.044 False 303.9
110 sb10-07 3.576 -16.711 0.063 False 303.9
111 sb10-08 2.708 -14.444 0.049 False 303.9
112 sb12-04 11.457 -8.975 0.051 False 303.9
113 sb12-05 10.195 -12.184 0.063 False 303.9
114 sb12-06 12.865 -11.803 0.117 False 303.9
115 sb12-07 13.913 -10.332 0.096 False 303.9
116 sb12-08 14.455 -12.938 0.085 False 303.9
117 sb12-09 16.527 -8.89 0.039 False 303.9
118 sb12-10 14.479 -8.435 0.086 False 303.9
119 sb12-11 9.921 -5.166 -0.005 False 303.9
120 sb11-06 10.809 -13.876 0.095 False 303.9
121 sb11-07 12.841 -13.719 0.057 False 303.9
122 sb11-08 7.758 -12.584 0.042 False 303.9
123 sb11-09 7.737 -10.461 0.041 False 303.9
124 sb11-10 5.934 -10.275 0.03 False 303.9
125 sb12-01 10.857 -6.639 0.035 False 303.9
126 sb12-02 9.629 -8.714 0.043 False 303.9
127 sb12-03 9.606 -10.563 0.022 False 303.9
128 sb13-09 17.221 -0.54 0.088 False 303.9
129 sb13-10 14.983 -0.893 0.092 False 303.9
130 sb13-11 13.415 -0.086 0.063 False 303.9
131 sb14-01 12.769 4.706 0.018 False 303.9
132 sb14-02 15.627 4.278 0.071 False 303.9
133 sb14-03 12.387 2.975 0.023 False 303.9
134 sb14-04 13.849 1.62 0.059 False 303.9
135 sb14-05 15.853 0.74 0.094 False 303.9
136 sb13-01 11.961 -1.006 0.068 False 303.9
137 sb13-02 13.255 -3.719 0.053 False 303.9
138 sb13-03 13.446 -6.034 0.063 False 303.9
139 sb13-04 14.709 -4.703 0.078 False 303.9
140 sb13-05 15.436 -6.943 0.069 False 303.9
141 sb13-06 16.745 -4.102 0.089 False 303.9
142 sb13-07 16.145 -2.401 0.084 False 303.9
143 sb13-08 19.367 -1.927 0.045 False 303.9
144 sb15-03 4.122 -5.543 0.012 False 303.9
145 sb15-04 6.08 -5.77 -0.004 False 303.9
146 sb15-05 7.111 -8.514 0.043 False 303.9
147 sb15-06 8.628 -7.007 -0.003 False 303.9
148 sb15-07 11.734 -4.619 0.049 False 303.9
149 sb15-08 10.335 -2.065 0.018 False 303.9
150 sb15-09 9.311 -3.478 0.019 False 303.9
151 sb15-10 5.555 -2.349 0.015 False 303.9
152 sb14-06 15.693 2.484 0.071 False 303.9
153 sb14-07 17.979 1.124 0.057 False 303.9
154 sb14-08 18.415 4.824 0.054 False 303.9
155 sb14-09 16.868 5.739 0.066 False 303.9
156 sb14-10 16.699 7.57 0.069 False 303.9
157 sb14-11 14.954 6.684 0.036 False 303.9
158 sb15-01 3.955 -3.73 0.0 False 303.9
159 sb15-02 6.899 -4.282 0.029 False 303.9
160 sb16-09 11.024 5.047 0.026 False 303.9
161 sb16-10 8.317 4.625 -0.013 False 303.9
162 sb16-11 9.518 6.056 0.022 False 303.9
163 sb17-01 10.456 11.404 0.002 False 303.9
164 sb17-02 9.394 8.738 0.001 False 303.9
165 sb17-03 10.985 9.664 0.029 False 303.9
166 sb17-04 10.93 7.155 0.025 False 303.9
167 sb17-05 13.183 6.556 0.005 False 303.9
168 sb16-01 7.154 2.517 0.023 False 303.9
169 sb16-02 5.328 0.901 0.009 False 303.9
170 sb16-03 6.689 -0.207 0.017 False 303.9
171 sb16-04 8.512 1.409 0.014 False 303.9
172 sb16-05 7.86 -2.322 0.025 False 303.9
173 sb16-06 9.127 -0.627 0.017 False 303.9
174 sb16-07 12.09 1.167 0.026 False 303.9
175 sb16-08 9.852 2.684 -0.019 False 303.9
176 sb18-04 0.525 -1.66 0.024 False 303.9
177 sb18-05 2.771 -1.368 -0.002 False 303.9
178 sb18-06 1.491 0.046 0.018 False 303.9
179 sb18-07 4.696 -0.735 -0.015 False 303.9
180 sb18-08 3.513 1.447 -0.047 False 303.9
181 sb18-09 0.642 2.104 0.038 False 303.9
182 sb18-10 -1.185 3.419 0.032 False 303.9
183 sb18-11 -3.252 1.261 0.013 False 303.9
184 sb17-06 12.455 8.245 0.036 False 303.9
185 sb17-07 14.706 8.913 0.06 False 303.9
186 sb17-08 14.64 10.701 0.058 False 303.9
187 sb17-09 12.846 10.91 0.05 False 303.9
188 sb17-10 13.051 14.262 0.046 False 303.9
189 sb18-01 -0.747 1.016 0.02 False 303.9
190 sb18-02 -3.098 -1.382 -0.002 False 303.9
191 sb18-03 -1.269 -1.529 0.019 False 303.9
192 sb19-09 6.538 9.872 -0.009 False 303.9
193 sb19-10 3.468 9.77 0.018 False 303.9
194 sb19-11 2.877 11.489 0.017 False 303.9
195 sb20-01 6.012 14.64 0.017 False 303.9
196 sb20-02 4.589 13.605 0.019 False 303.9
197 sb20-03 5.122 11.072 0.001 False 303.9
198 sb20-04 6.836 12.274 0.026 False 303.9
199 sb20-05 8.803 10.898 0.015 False 303.9
200 sb19-01 0.783 3.909 0.024 False 303.9
201 sb19-02 1.861 5.782 0.008 False 303.9
202 sb19-03 3.977 4.348 0.017 False 303.9
203 sb19-04 5.192 2.93 0.004 False 303.9
204 sb19-05 4.357 6.631 0.004 False 303.9
205 sb19-06 6.096 6.072 0.029 False 303.9
206 sb19-07 6.982 7.635 0.047 False 303.9
207 sb19-08 4.652 8.491 -0.003 False 303.9
208 sb21-04 -2.768 6.967 -0.015 False 303.9
209 sb21-05 -0.439 5.146 0.015 False 303.9
210 sb21-06 0.366 6.789 0.021 False 303.9
211 sb21-07 1.997 7.683 0.036 False 303.9
212 sb21-08 -0.77 8.15 0.0 False 303.9
213 sb21-09 1.024 9.287 -0.012 False 303.9
214 sb21-10 -2.343 10.552 0.042 False 303.9
215 sb21-11 -4.123 10.06 0.033 False 303.9
216 sb20-06 9.546 13.419 0.036 False 303.9
217 sb20-07 11.541 12.981 -0.001 False 303.9
218 sb20-08 10.695 15.311 0.023 False 303.9
