name,ra_str,dec_str,flux_jy,epoch
0017+815,00h17m08.474953s,"81d35'08.136330""",0.7000,J2000
0354+801,03h54m46.125943s,"80d09'28.847710""",0.6000,J2000
0508+845,05h08m42.363503s,"84d32'04.544020""",0.7500,J2000
0626+820,06h26m03.006188s,"82d02'25.567640""",0.7000,J2000
0939+832,09h39m23.5849s,"83d15'27.170""",2.8000,J2000
1010+828,10h10m15.783046s,"82d50'14.384080""",0.9000,J2000
1044+809,10h44m23.062554s,"80d54'39.443030""",0.8000,J2000
1058+812,10h58m11.535365s,"81d14'32.675210""",0.4200,J2000
1153+809,11h53m12.499130s,"80d58'29.154510""",1.4000,J2000
1321+832,13h21m45.609537s,"83d16'13.422910""",0.5000,J2000
1632+825,16h32m31.969981s,"82d32'16.399900""",0.4000,J2000
1639+865,16h39m25.1184s,"86d31'53.194""",0.9000,J2000
2133+826,21h33m34.079801s,"82d39'06.052510""",0.9000,J2000
2344+824,23h44m03.7718s,"82d26'40.401""",3.7900,J2000
2356+818,23h56m22.793779s,"81d52'52.255210""",0.3700,J2000
