path,last_commit,first_line,recommended_action,reason
TECHNICAL_DEBT.md,untracked,# Technical Debt - Anti-Pattern Catalog,consolidate,Move root-level Markdown into docs/ per consolidation plan.
UNIT_TEST_STATUS.md,untracked,# Unit Test Status Report,consolidate,Move root-level Markdown into docs/ per consolidation plan.
DEPLOYMENT_STATUS.md,untracked,# Deployment Status Report,consolidate,Move root-level Markdown into docs/ per consolidation plan.
DEPLOYMENT_PLAN.md,untracked,# Browser Testing & Production Deployment Plan,consolidate,Move root-level Markdown into docs/ per consolidation plan.
CONTEXT_SUMMARY.md,untracked,# Context Summary - JS9 Refactoring Project,consolidate,Move root-level Markdown into docs/ per consolidation plan.
EDGE_CASE_ERROR_DETECTION.md,untracked,# Edge Case Error Detection - Silent Failures & Missed Errors,consolidate,Move root-level Markdown into docs/ per consolidation plan.
ERROR_RECOGNITION_GUIDE.md,untracked,# Error Recognition Guide - How Errors Are Detected,consolidate,Move root-level Markdown into docs/ per consolidation plan.
ERROR_DETECTION_TOOLS.md,untracked,# Third-Party Error Detection Tools,consolidate,Move root-level Markdown into docs/ per consolidation plan.
ERROR_DETECTION_FRAMEWORK.md,untracked,# Comprehensive Error Detection Framework,consolidate,Move root-level Markdown into docs/ per consolidation plan.
EXECUTION_PROTOCOL.md,untracked,# Execution Protocol - Browser Testing & Deployment,consolidate,Move root-level Markdown into docs/ per consolidation plan.
EXECUTION_PLAN_CLARIFICATION.md,untracked,# Execution Plan Clarification,consolidate,Move root-level Markdown into docs/ per consolidation plan.
IMPLEMENTATION_STATUS.md,untracked,# Error Detection Framework - Implementation Status,consolidate,Move root-level Markdown into docs/ per consolidation plan.
ANTI_PATTERN_IMPLEMENTATION_STATUS.md,untracked,# Anti-Pattern Handling - Implementation Status,consolidate,Move root-level Markdown into docs/ per consolidation plan.
ANTI_PATTERN_HANDLING.md,untracked,# Anti-Pattern Handling - Current State & Improvements,consolidate,Move root-level Markdown into docs/ per consolidation plan.
MISTAKE_LOG.md,untracked,# Mistake Log - Browser Testing & Deployment,consolidate,Move root-level Markdown into docs/ per consolidation plan.
MEMORY.md,2025-10-29,# DSA-110 Continuum Imaging Pipeline - Codebase Understanding,keep,Primary entry point or memory file.
README.md,2025-11-11,# DSA-110 Continuum Imaging Pipeline,keep,Primary entry point or memory file.
docs/AUTOMATED_TESTING_STRATEGY.md,2025-11-06,# Automated Testing Strategy for Frontend,keep,Default keep until manual review.
docs/CODE_REVIEW_ANALYSIS.md,2025-11-09,# Code Review Analysis: Software Developer & Radio Astronomer Perspectives,keep,Default keep until manual review.
docs/SYNTHETIC_DATA_GENERATION.md,2025-11-06,# Synthetic Data Generation Capabilities,keep,Default keep until manual review.
docs/TEST_AGENT_PYTHON_ENV.md,2025-11-12,# Test Prompt for New Agent,keep,Default keep until manual review.
docs/changelog/CALIBRATION_IMPROVEMENTS_2024.md,2025-11-07,# Calibration Improvements - November 2024,keep,Default keep until manual review.
docs/changelog/PYRADIOSKY_DEFAULT_UPDATE.md,2025-11-07,# pyradiosky Now Default for Sky Model Construction,keep,Default keep until manual review.
docs/changelog/2025-11-06-model-py-optimization.md,2025-11-07,# Model.py Optimization - 2025-11-06,keep,Default keep until manual review.
docs/testing/TEST_EXECUTION_SUMMARY.md,2025-11-09,# Test Execution Summary,keep,Default keep until manual review.
docs/testing/MS_LOCKING_IMPLEMENTATION.md,2025-11-09,# MS Access Serialization Implementation,keep,Default keep until manual review.
docs/testing/VERIFICATION_RESULTS.md,2025-11-09,# Test Infrastructure Verification Results,keep,Default keep until manual review.
tests/README_CALIBRATION_TESTING.md,2025-11-04,# Comprehensive Calibration Testing Guide,keep,Code-adjacent documentation supporting module owners.
frontend/ZERO_BYPASS_IMPLEMENTATION.md,2025-11-12,# Zero Bypass Prevention Implementation,keep,Code-adjacent documentation supporting module owners.
frontend/UNIT_TEST_STATUS.md,2025-11-12,# Unit Test Suite Status,keep,Code-adjacent documentation supporting module owners.
frontend/TEST_RESULTS_SKYVIEW.md,2025-11-06,# SkyView Test Results,keep,Code-adjacent documentation supporting module owners.
frontend/TESTING.md,2025-10-30,# Frontend Testing with Docker,keep,Code-adjacent documentation supporting module owners.
frontend/docs/hot-reload-verification.md,2025-11-12,# Hot Reload Verification,keep,Code-adjacent documentation supporting module owners.
frontend/docs/testing-strategy.md,2025-11-11,# Combined Testing Strategy: Playwright + Cursor Browser Tools,keep,Code-adjacent documentation supporting module owners.
frontend/docs/testing-execution-report.md,2025-11-11,# Testing Strategy Execution Report,keep,Code-adjacent documentation supporting module owners.
frontend/docs/playwright-docker-setup.md,2025-11-11,# Playwright in Docker Setup,keep,Code-adjacent documentation supporting module owners.
frontend/docs/health-check-fix.md,2025-11-12,# Docker Health Check Fix,keep,Code-adjacent documentation supporting module owners.
internal/docs/development/SAFEGUARD_INTEGRATION_QUICK_REF.md,2025-11-09,# Safeguard Integration Quick Reference,archive,Internal development notes; keep separate from publishable docs.
internal/docs/development/SAFEGUARD_INTEGRATION_PLAN.md,2025-11-09,# Safeguard Integration Plan,archive,Internal development notes; keep separate from publishable docs.
internal/docs/development/SAFEGUARD_INTEGRATION_LOCATIONS.md,2025-11-11,# Safeguard Integration Locations,archive,Internal development notes; keep separate from publishable docs.
internal/docs/development/SAFEGUARD_INTEGRATION_EXPANDED.md,2025-11-09,# Expanded Safeguard Integration Plan,archive,Internal development notes; keep separate from publishable docs.
internal/docs/development/SAFEGUARD_IMPLEMENTATION_STATUS.md,2025-11-09,# Safeguard Implementation Status,archive,Internal development notes; keep separate from publishable docs.
internal/docs/development/SAFEGUARD_CRITICAL_REVIEW.md,2025-11-09,# Safeguard Implementation Critical Review,archive,Internal development notes; keep separate from publishable docs.
internal/docs/development/RUNTIME_SAFEGUARDS_USAGE.md,2025-11-09,# Runtime Safeguards Usage Guide,archive,Internal development notes; keep separate from publishable docs.
internal/docs/development/COMMON_PITFALLS_AND_SAFEGUARDS.md,2025-11-09,# Common Pitfalls and Safeguards,archive,Internal development notes; keep separate from publishable docs.
internal/docs/chat/cursor_ingest_data_and_construct_mosaic.md,2025-11-09,# Ingest data and construct mosaic,archive,Internal development notes; keep separate from publishable docs.
internal/docs/chat/cursor_confirm_correct_staging_area_for.md,2025-11-09,# Confirm correct staging area for data,archive,Internal development notes; keep separate from publishable docs.
internal/docs/chat/cursor_1028.md,2025-11-09,# Run mosaic pipeline test for 0834 transit,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/README.md,2025-11-09,# Development Documentation,archive,Internal development notes; keep separate from publishable docs.
frontend/tests/e2e/TEST_EXECUTION_SUCCESS.md,2025-11-12,# E2E Test Execution Success Report,keep,Code-adjacent documentation supporting module owners.
frontend/tests/e2e/README.md,2025-11-12,# E2E Testing Guide,keep,Code-adjacent documentation supporting module owners.
frontend/tests/e2e/NEXT_STEPS.md,2025-11-12,# Next Steps for Dashboard Testing,keep,Code-adjacent documentation supporting module owners.
frontend/tests/e2e/IMPLEMENTATION_SUMMARY.md,2025-11-12,# E2E Testing Implementation Summary,keep,Code-adjacent documentation supporting module owners.
internal/docs/dev/status/README.md,2025-11-09,# Status Reports,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/analysis/time_validation_strategy.md,2025-11-09,# TIME Validation Strategy,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/analysis/time_investigation_report.md,2025-11-09,# TIME and TIME_RANGE Investigation Report,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/analysis/time_handling_issues.md,2025-11-09,# TIME Handling Issues in MS Generation Procedures,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/analysis/README.md,2025-11-09,# Analysis Reports,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/analysis/ra_calculation_issue.md,2025-11-09,# Issue: Incorrect RA Assignment to Fields in MS Files,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/analysis/js9_refactoring_summary.md,2025-11-12,# JS9 Refactoring Summary,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/analysis/js9_refactoring_progress.md,2025-11-12,# JS9 Refactoring Progress,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/analysis/js9_phase3_proposal.md,2025-11-12,# JS9 Phase 3: Abstraction Layer Proposal,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/analysis/js9_phase3a_progress.md,2025-11-12,# Phase 3a: Component Splitting - Progress,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/analysis/js9_phase3a_plan.md,2025-11-12,# Phase 3a: Component Splitting Plan,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/analysis/js9_phase2_integration.md,2025-11-12,# JS9 Phase 2: Context Provider Integration,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/analysis/js9_phase2_complete.md,2025-11-12,# JS9 Phase 2: Complete Implementation Summary,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/analysis/js9_architecture_analysis.md,2025-11-12,# JS9 Integration Architecture Analysis,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/analysis/duplicate_time_investigation.md,2025-11-09,# Duplicate TIME Values Investigation Report,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/analysis/database_transaction_safety.md,2025-11-09,# Database Transaction Safety Review,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/analysis/bug_report.md,2025-11-09,# Comprehensive Bug Report,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/history/README.md,2025-11-09,# Development History,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/notes/README.md,2025-11-09,# Development Notes,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/notes/pyuvdata_usage_analysis.md,2025-11-09,# pyuvdata Usage Analysis in DSA110-contimg Pipeline,archive,Internal development notes; keep separate from publishable docs.
internal/docs/dev/notes/architecture_optimization_recommendations.md,2025-11-09,# Architecture Optimization Recommendations for dsa110_contimg,archive,Internal development notes; keep separate from publishable docs.
