iau_name,ra_str,dec_str,pos_code,pos_ref,alt_name,epoch,flux_P_jy,flux_L_jy,flux_C_jy,flux_X_jy,flux_U_jy,flux_K_jy,flux_Q_jy,struct_L_A,struct_L_B,struct_L_C,struct_L_D
0003-174,00h03m21.9969s,"-17d27'11.781""",T,,,J2000,,,,,,,,,,,
0006-063,00h06m13.892894s,"-06d23'35.335300""",A,Aug01,,J2000,,,,,,,,,,,
0006-000,00h06m22.6338s,"-00d04'24.086""",T,3C2,,J2000,,,,,,,,,,,
0010-418,00h10m52.519686s,"-41d53'10.790750""",C,Aug01,,J2000,,,,,,,,,,,
0011-262,00h11m01.246752s,"-26d12'33.377130""",A,Aug01,,J2000,,,,,,,,,,,
0012-399,00h12m59.9080s,"-39d54'25.836""",C,Jan00,,J2000,,,,,,,,,,,
0016-002,00h16m11.088554s,"-00d15'12.445280""",A,Aug01,,J2000,,,,,,,,,,,
0018-127,00h18m51.4001s,"-12d42'33.214""",T,,,J2000,,,,,,,,,,,
0024-420,00h24m42.989921s,"-42d02'03.950200""",B,Aug01,,J2000,,,,,,,,,,,
0025-260,00h25m49.1683s,"-26d02'12.695""",C,,,J2000,,,,,,,,,,,
0035-200,00h35m08.7836s,"-20d03'59.664""",T,,,J2000,,,,,,,,,,,
0038-213,00h38m29.954721s,"-21d20'04.022270""",B,Aug01,,J2000,,,,,,,,,,,
0040-017,00h40m57.611582s,"-01d46'32.025620""",A,Aug01,,J2000,,,,,,,,,,,
0042-442,00h42m09.4222s,"-44d14'15.581""",T,,,J2000,,,,,,,,,,,
0044-355,00h44m41.2294s,"-35d30'41.628""",T,,,J2000,,,,,,,,,,,
0050-094,00h50m41.317390s,"-09d29'05.210210""",A,Aug01,,J2000,,,,,,,,,,,
0051-068,00h51m08.209796s,"-06d50'02.228140""",A,Aug01,,J2000,,,,,,,,,,,
0054-035,00h54m08.4465s,"-03d33'55.363""",T,3C26,,J2000,,,,,,,,,,,
0059-170,00h59m06.6845s,"-17d00'38.522""",T,,,J2000,,,,,,,,,,,
0106-405,01h06m45.107966s,"-40d34'19.960360""",B,Aug01,,J2000,,,,,,,,,,,
