J2000_NAME,B1950_NAME,PC_J2000,PC_B1950,RA_J2000,DEC_J2000,POS_REF,ALT_NAME,BAND,A,B,C,D,FLUX_JY,UVMIN_kL,UVMAX_kL
0001+192,2358+189,A,A,00h01m08.621563s,"19d14'33.801860""",Aug01,JVAS,0.7cm,Q,W,W,W,0.18,None,None
0003-174,0000-177,T,T,00h03m21.9969s,"-17d27'11.781""",None,None,90cm,P,X,S,S,7,7,None
0003-174,0000-177,T,T,00h03m21.9969s,"-17d27'11.781""",None,None,20cm,L,X,X,X,2.2,7,None
0004+462,0001+459,A,A,00h04m16.127651s,"46d15'17.970010""",Aug01,None,0.7cm,Q,W,W,W,0.12,None,None
0004+203,0002+200,B,B,00h04m35.7576s,"20d19'42.249""",May01,JVAS,0.7cm,Q,W,W,W,0.21,None,None
0005+544,0002+541,A,A,00h05m04.363531s,"54d28'24.926230""",Aug01,None,2cm,U,S,S,S,0.48,None,None
0005+544,0002+541,A,A,00h05m04.363531s,"54d28'24.926230""",Aug01,None,0.7cm,Q,W,W,W,0.46,None,None
0005+383,0003+380,A,A,00h05m57.175409s,"38d20'15.148570""",Aug01,CJ2,20cm,L,X,X,X,0.52,None,None
0005+383,0003+380,A,A,00h05m57.175409s,"38d20'15.148570""",Aug01,CJ2,6cm,C,P,P,P,0.8,None,None
0005+383,0003+380,A,A,00h05m57.175409s,"38d20'15.148570""",Aug01,CJ2,3.7cm,X,P,P,P,1.1,None,None
0005+383,0003+380,A,A,00h05m57.175409s,"38d20'15.148570""",Aug01,CJ2,2cm,U,S,S,S,0.67,None,None
0005+383,0003+380,A,A,00h05m57.175409s,"38d20'15.148570""",Aug01,CJ2,0.7cm,Q,S,S,S,0.8,None,None
0006-063,0003-066,A,A,00h06m13.892894s,"-06d23'35.335300""",Aug01,None,20cm,L,S,X,X,1.60,45,None
0006-063,0003-066,A,A,00h06m13.892894s,"-06d23'35.335300""",Aug01,None,6cm,C,P,P,P,1.30,None,None
0006-063,0003-066,A,A,00h06m13.892894s,"-06d23'35.335300""",Aug01,None,3.7cm,X,P,P,P,1.60,None,None
0006-063,0003-066,A,A,00h06m13.892894s,"-06d23'35.335300""",Aug01,None,2cm,U,P,P,P,1.10,None,None
0006-063,0003-066,A,A,00h06m13.892894s,"-06d23'35.335300""",Aug01,None,0.7cm,Q,S,S,S,1.5,None,None
0006-000,0003-003,T,T,00h06m22.6338s,"-00d04'24.086""",None,3C2,90cm,P,X,X,S,12,3,None
0006-000,0003-003,T,T,00h06m22.6338s,"-00d04'24.086""",None,3C2,20cm,L,X,X,X,3.8,3,None
0006+243,0004+240,B,B,00h06m48.789395s,"24d22'36.392490""",Aug01,None,0.7cm,Q,W,W,W,0.17,None,None
0008+117,0005+114,B,B,00h08m00.8394s,"11d44'00.784""",May01,JVAS,0.7cm,Q,W,W,W,0.11,None,None
0008+686,0005+683,C,C,00h08m33.471549s,"68d37'22.045040""",Aug01,None,2cm,U,W,W,W,0.29,None,None
0008+686,0005+683,C,C,00h08m33.471549s,"68d37'22.045040""",Aug01,None,0.7cm,Q,W,W,W,0.27,None,None
0009+064,0006+061,B,B,00h09m03.9327s,"06d28'21.238""",May01,JVAS,0.7cm,Q,W,W,W,0.32,None,None
0009+400,0006+397,A,A,00h09m04.173595s,"40d01'46.704740""",Aug01,None,0.7cm,Q,W,W,W,0.13,None,None
0010+207,0007+205,B,B,00h10m28.7425s,"20d47'49.713""",May01,JVAS,0.7cm,Q,W,W,W,0.11,None,None
0010+109,0007+106,A,A,00h10m31.005888s,"10d58'29.504120""",Aug01,None,20cm,L,X,X,X,0.06,None,None
0010+109,0007+106,A,A,00h10m31.005888s,"10d58'29.504120""",Aug01,None,6cm,C,W,W,W,0.27,None,None
0010+109,0007+106,A,A,00h10m31.005888s,"10d58'29.504120""",Aug01,None,3.7cm,X,S,S,S,0.44,None,None
0010+109,0007+106,A,A,00h10m31.005888s,"10d58'29.504120""",Aug01,None,2cm,U,W,W,W,0.35,None,None
0010+109,0007+106,A,A,00h10m31.005888s,"10d58'29.504120""",Aug01,None,0.7cm,Q,S,S,S,1.9,None,None
0010+174,0007+171,A,A,00h10m33.990619s,"17d24'18.761350""",Aug01,None,20cm,L,P,S,X,0.90,15,None
0010+174,0007+171,A,A,00h10m33.990619s,"17d24'18.761350""",Aug01,None,6cm,C,P,P,P,0.98,None,None
0010+174,0007+171,A,A,00h10m33.990619s,"17d24'18.761350""",Aug01,None,3.7cm,X,P,P,P,0.95,None,None
0010+174,0007+171,A,A,00h10m33.990619s,"17d24'18.761350""",Aug01,None,2cm,U,S,S,S,0.70,None,None
0010+174,0007+171,A,A,00h10m33.990619s,"17d24'18.761350""",Aug01,None,0.7cm,Q,W,W,W,0.5,None,None
0010-418,0008-421,C,C,00h10m52.519686s,"-41d53'10.790750""",Aug01,None,20cm,L,P,P,P,4.10,100,None
0010-418,0008-421,C,C,00h10m52.519686s,"-41d53'10.790750""",Aug01,None,6cm,C,X,S,P,1.25,100,None
